"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 02 03:50:17 GMT 2022","Fri Dec 02 03:50:18 GMT 2022","1081","","Contrato GET/usuario","","","","Contrato - Validar contrato get usuario nome",""
"passed","Fri Dec 02 03:50:14 GMT 2022","Fri Dec 02 03:50:14 GMT 2022","414","","Contrato GET/candidato","","","","Contrato - Validar contrato get candidato findbyemail",""
"passed","Fri Dec 02 03:49:47 GMT 2022","Fri Dec 02 03:49:47 GMT 2022","256","","Candidato-Controller","","","","PUT - Tentar atualizar candidato passando id inexistente",""
"passed","Fri Dec 02 03:50:14 GMT 2022","Fri Dec 02 03:50:14 GMT 2022","284","","Contrato GET/usuario","","","","Contrato - Validar contrato get usuario",""
"passed","Fri Dec 02 03:50:01 GMT 2022","Fri Dec 02 03:50:02 GMT 2022","254","","Usuario-Controller","","","","GET - Tentar listar usuario por ID inexistente",""
"passed","Fri Dec 02 03:50:05 GMT 2022","Fri Dec 02 03:50:05 GMT 2022","498","","Usuario-Controller","","","","POST - Tentar criar usuario passando perfil errado",""
"passed","Fri Dec 02 03:50:02 GMT 2022","Fri Dec 02 03:50:02 GMT 2022","261","","Usuario-Controller","","","","GET - Tentar listar usuarios por nome inexistente",""
"passed","Fri Dec 02 03:50:01 GMT 2022","Fri Dec 02 03:50:01 GMT 2022","248","","Usuario-Controller","","","","GET - Listar usuarios por nome",""
"passed","Fri Dec 02 03:50:05 GMT 2022","Fri Dec 02 03:50:06 GMT 2022","1067","","Usuario-Controller","","","","PUT - Atualizar usuario",""
"passed","Fri Dec 02 03:50:03 GMT 2022","Fri Dec 02 03:50:05 GMT 2022","1077","","Usuario-Controller","","","","POST - Tentar criar usuario com email ja cadastrado",""
"passed","Fri Dec 02 03:49:49 GMT 2022","Fri Dec 02 03:49:50 GMT 2022","543","","Candidato-Controller","","","","DELETE - Tentar deletar usuario inexistente do sistema",""
"passed","Fri Dec 02 03:50:11 GMT 2022","Fri Dec 02 03:50:11 GMT 2022","244","","Usuario-Controller","","","","DELETE - Tentar tornar usuario inexistente inativo",""
"passed","Fri Dec 02 03:50:15 GMT 2022","Fri Dec 02 03:50:16 GMT 2022","1073","","Contrato GET/usuario","","","","Contrato - Validar contrato get usuario idUsuario",""
"passed","Fri Dec 02 03:50:02 GMT 2022","Fri Dec 02 03:50:02 GMT 2022","253","","Usuario-Controller","","","","GET - Tentar listar usuario por email inexistente",""
"passed","Fri Dec 02 03:49:48 GMT 2022","Fri Dec 02 03:49:49 GMT 2022","474","","Candidato-Controller","","","","DELETE - Tornar candidato inativo",""
"passed","Fri Dec 02 03:50:02 GMT 2022","Fri Dec 02 03:50:03 GMT 2022","1341","","Usuario-Controller","","","","POST - Criar usuario",""
"passed","Fri Dec 02 03:50:00 GMT 2022","Fri Dec 02 03:50:00 GMT 2022","253","","Usuario-Controller","","","","GET - Listar usuario por ID",""
"passed","Fri Dec 02 03:49:44 GMT 2022","Fri Dec 02 03:49:44 GMT 2022","249","","Candidato-Controller","","","","GET - Listar candidatos por nome ou trilha",""
"passed","Fri Dec 02 03:50:00 GMT 2022","Fri Dec 02 03:50:01 GMT 2022","287","","Usuario-Controller","","","","GET - Listar usuario por email",""
"passed","Fri Dec 02 03:49:45 GMT 2022","Fri Dec 02 03:49:45 GMT 2022","401","","Candidato-Controller","","","","POST - Tentar criar candidato com email ja cadastrado",""
"passed","Fri Dec 02 03:49:45 GMT 2022","Fri Dec 02 03:49:45 GMT 2022","337","","Candidato-Controller","","","","POST - Criar candidato",""
